news,code
아이뉴스 류은혁 기자 전사적 자원관리시스템 개발업체인 영림원소프트랩은 지난 일 일반 투자자를 대상으로 진행한 공모청약에서 천 대 의 경쟁률을 기록했다고 일 밝혔다이날 영림원소프트랩의 상장을 주관하고 있는 미래에셋대우에 따르면 이번 일반 공모청약은 전체 공모 물량의 에 해당하는 만주를 대상으로 진행됐다 이에 총 억천만천주가 청약 접수됐고 증거금은 약 조천억원을 기록했다영림원소프트랩의 공모가는 만천원으로 약 억원을 조달할 예정이다 공모자금은 연구개발 및 시설투자와 함께 글로벌 시장 진출에 활용할 예정이다 코스닥시장 상장 예정일은 오는 일이다권영범 영림원소프트랩 대표는 이번 일반 투자자 공모청약을 통해 성장 가능성에 대한 책임감을 느낀다며 상장 후에도 투명하고 책임감 있는 경영활동으로 코스닥 상장사로서의 의무를 다하고 시장에서 아시아 대표가 될 수 있도록 노력하겠다고 밝혔다영림원소프트랩은 온프레미스 인  와 클라우드  기반의 월 과금형 인  관련 사업을 주력으로 하고 있다 특히 전체 인력 중 기술 인력의 비율이 를 차지할 정도로 전문적인 기술개발 역량을 갖추고 있으며 이를 토대로 지난 년에는 소프트웨어정책연구소의 국내외 기업경쟁력 분석에서 인력 부문 전체 위를 차지하기도 했다 아이뉴스 무단전재 및 재배포 금지,경제
금융노동조합 연대회의 출범식 금융노조 금융노동조합 연대회의 출범식 금융노조아이뉴스 김다운 기자 중장년 금융권 노동자로 구성된 금융노동조합 연대회의이하 금융노조가 일 국회 의원회관에서 공식 출범했다산업은행기업은행국민은행씨티은행신용보증기금기술보증기금서울보증보험한국거래소 등 여덟 곳의 중장년 금융노동자가 주축이 된 노조가 연맹 형식으로 힘을 합친 것이다 조합원 수는 약 천여명이다고용상 연령차별금지법고령자고용법에 정년 세가 보장되었음에 불구하고 대 금융노동자들의 희생만 강요하는 임금피크제 문제의 해결과 청년고용 확대를 위한 현실적인 희망퇴직제도의 실시 등 중장년 근로자와 관련한 주요 문제를 직접 해결하겠다는 취지다금융노조의 심상균 초대위원장국민은행노동조합위원장은 이 날 대회사에서 법적으로 정년이 세로 보장되었지만 위법적인 임금피크제 강제실시로 인해 오히려 대 금융노동자들은 반값 근무와 직급 강등에 의해 조기 퇴출을 강요당하고 있다고 밝혔다심 위원장은 임금피크로 갈취한 우리의 임금을 돌려받아 금융재단 설립 등을 통해  세대의 고용안정이나 청년 일자리를 위해 사용해야 한다고 강조했다금융권의 세대 갈등도 극에 달해 세대별 복수노조 시대가 가속화 되고 있는 상황이다 복수노조에 의한 연합노조가 설립되는 것은 이번이 처음이다상급단체 성격의 연맹조직을 구성한 건 기존 금융권 노조에서 중장년 노동자 관련 이슈가 해결되지 않고 있다는 판단에서다제 금융권의 기존 금융노조는 올해 임단협 안건으로 세 정년 연장 및 임금피크제 개선을 내걸었지만 뒷전으로 밀려나 해결의 실마리를 찾지 못하고 있는 상황이라고 금융노조 측은 지적했다금융노조의 수석부위원장인 박경준 기업은행노동조합위원장은 고령 근로자 관련 현안은 기존 노조의 협상 우선순위에서 대부분 뒤로 밀려나 있다며 임금피크제의 폐지 및 정당한 희망퇴직 등의 주요 사안에서 대 사용자 및 정부측에 직접 목소리를 낼 것이라고 말했다금융권의 복수 노조들이 새로운 노동조합연합단체를 만든 것은 중장년 금융노동자 관련 이슈가 매해 불거지고 있기 때문이다임금피크제를 적용받는 직원은 불어나는데 처우는 계속 악화되고 있다는 주장이다 특히 희망퇴직이 사문화된 국책은행은 갈등이 더 극심하다그동안은 이러한 문제들에 대하여 기존 노조를 통해 사측과 협상해 왔다 그러나 해결이 지지부진하여 금융노조를 출범시켜 이런 문제들에 대해 직접 목소리를 내겠다는 취지다금융권의 세대 갈등이 복수노조화를 부추길 수 있다는 전망도 나온다기재부에 따르면 지난해 말 국책은행 임금피크제 직원 비중은 산업은행  기업은행  수출입은행  등이었다 내년에는 전체 국책은행 직원의  수준으로 늘어날 전망이다금융권 관계자는 연령대별로 이해관계가 확연히 달라지고 있어 세대별 복수노조가 금융권에 보편화할 가능성도 있다고 말했다이 날 출범식에서 노후희망유니온 및 청년유니온과도 업무협약을 체결하여 세대별노동조합 활동을 통해 노동운동의 새로운 지평을 열어갈 것임을 밝혔다 향후 업종의 제한을 넘어서 전국 노동조합연대회의도 구축할 계획이다청년일자리 창출을 위한 희망퇴직과 관련하여 금융노조의 김지원 부위원장은 국책은행의 희망퇴직을 정당한 금액으로 현실화하고 고령 근로자에게 퇴로를 열어주는 것은 청년고용과 사회적 갈등 해소에도 도움이 되는 일이라며 금융권 조직의 선순환을 위해 은퇴를 앞둔 세대에 대한 대책을 시급히 마련해야 한다고 주장했다 아이뉴스 무단전재 및 재배포 금지,경제
금융그룹과 현대건설기계가 아세안 등 해외시장에서 경쟁력을 높이기 위해 업무협약을 맺고 기념사진을 촬영하고 있다 왼쪽부터 오성호 상무 권기형 현대건설기계 전무 금융그룹  금융그룹과 현대건설기계가 아세안 등 해외시장에서 경쟁력을 높이기 위해 업무협약을 맺고 기념사진을 촬영하고 있다 왼쪽부터 오성호 상무 권기형 현대건설기계 전무 금융그룹 아이뉴스 이효정 기자 금융그룹과 현대건설기계가 아세안 등 해외시장에서 경쟁력을 높이기 위해 업무협약을 맺었다고 일 밝혔다이번 협약으로 두 회사는 아세안 시장에 제휴 등의 방식으로 다양한 사업을 추진할 계획이다 금융그룹은 현대건설기계 판매 상품에 대한 리스금융으로 수익성을 강화할 수 있다 현대건설기계는 금융이 제공하는 금융상품을 토대로 아세안 시장에서의 점유율을 늘릴 수 있을 것으로 기대된다그 일환으로 내달 두 회사는 캄보디아에 첫 금융상품 출시를 앞두고 있다 금융그룹은 현대건설기계와의 이번 제휴 사업을 글로벌 주요 전략으로 추진한다는 방침이다금융그룹은 년 라오스 리스업 년 캄보디아  특수은행 년 미얀마 소액대출업 년 베트남 호치민지점 개점 등 아세안 중심으로 해외 시장을 공략하고 있다특히 한국계 진출기관 최초로 캄보디아에서 현지인 법인장을 선임하는 등 차별화된 현지화 전략에 주력하고 있다현대건설기계는 중국 시장과 더불어 아세안 등 신흥시장에서의 판매 확대를 모색하고 있다 아세안 시장은 전통적으로 일본 제조업체들이 선점해 강세를 보이고 있는 지역이다 최근에는 국내업체와 함께 중국업체들이 공격적으로 시장 진출을 추진하고 있어 경쟁이 치열해지고 있다 아이뉴스 무단전재 및 재배포 금지,경제
정부가 공공참여형 고밀재건축공공재건축 도입 등으로 서울 도심 공급을 확대한다 공공재건축을 하면 용적률을 최대 까지 주고 층수 규제를 완화해 층으로 지을 수 있게 해준다 하지만 용적률 증가에 따른 기대수익의  이상을 공공기부 형태로 환수하기로 했다정부는 일 정부서울청사에서 서울에 만가구를 추가 공급하는  부동산대책을 발표했다 이번 정부의 번째 부동산대책으로 서울 공릉동 태릉골프장과 용산구 캠프킴 정부과천청사 부지 등 신규 택지 발굴만가구을 비롯해 공공재건축재개발만 가구 기 신도시 등 고밀화만가구 도심 공급 확대가구 등이 담겼다가장 비중이 큰 건 공공재건축만 가구이다 한국토지주택공사 서울주택도시공사 등 공공기관이 참여할 경우 현재  수준인 용적률을 최대 로 늘려주기로 했다 층으로 묶인 층수 제한도 풀어줘 강남 재건축 단지들도 층까지 지을 수 있게 된다증가한 용적률의 는 공공임대 등으로 공공기부해야 한다 현재 용적률이 인 가구 은마아파트는 용적률 한도 인센티브 에 맞춰 가구를 새로 짓는 정비계획이 수립돼 있다 만약 공공 재건축으로 용적률 가 적용되면 가구를 더 건립할 수 있다 단 증가분의 최대 인 가구를 공공기부해야 한다 여기에 재건축 초과이익환수금까지 거두면 개발이익을 대부분 환수할 수 있게 된다그러나  환수는 지나치다는 지적이 나온다 서울시도 이날 공공 재건축에 반대한다는 입장을 밝혀 논란이 예상된다 권대중 명지대 부동산학과 교수는 정비사업 규제 완화는 환영할 일이지만 개발이익의 대부분을 환수해간다면 강남 등 알짜 입지 재건축 조합들은 참여하지 않을 것이라고 말했다최진석이유정 기자  한국경제    무단전재 및 재배포 금지,경제
더불어민주당과 정부는  부동산 대책을 발표하기에 앞서 일 오전 국회 의원회관에서 당정협의를 열었다 홍남기 부총리 겸 기획재정부 장관왼쪽이 김태년 민주당 원내대표에게 귓속말을 하고 있다 연합뉴스 더불어민주당과 정부는  부동산 대책을 발표하기에 앞서 일 오전 국회 의원회관에서 당정협의를 열었다 홍남기 부총리 겸 기획재정부 장관왼쪽이 김태년 민주당 원내대표에게 귓속말을 하고 있다 연합뉴스추가 규제 엄포 놓은 정부공급 대책 실효성도 의문홍남기 부총리 겸 기획재정부 장관은  부동산대책을 발표하면서 재건축으로 부동산 시장이 불안해지면 토지거래 허가구역 지정 등을 검토하겠다고 말했다 토지거래허가제는 특정 지역의 집을 사기 전에 일일이 관청의 허가를 받도록 한 것으로 부동산 규제의 끝판왕으로 통한다 김태년 더불어민주당 원내대표도 부동산 시장 교란 행위가 계속되면 더 강력한 입법에 나서겠다고 했다 번째 부동산 대책의 잉크가 마르기도 전에 더 센 번째 대책을 예고한 것이다 대책은 문재인 정부 들어 번째 부동산 대책이다 현 정부가 출범한 지 개월이 지났으니 두 달에 한 번꼴로 대책을 내놓은 셈이다 이번 대책은 그간 치중해온 규제 강화와 결이 다른 공급 대책이지만 쉴 새 없이 발표되는 부동산 대책에 피로감을 호소하는 목소리가 많다하지만 정부는 이날도 이게 끝이 아니다고 엄포를 놓았다 홍 부총리는 공급 확대 대책이 개발 호재로 인식돼 부동산 시장 불안 요인으로 작용할 가능성을 배제하지 않고 있다고 말했다 이어 그런 일이 발생하지 않게 철저히 모니터링하는 것은 물론 필요한 경우 토지거래 허가구역 지정 등을 통해 시장 불안 요인을 철저히 관리하겠다고 했다지역별 허가제 대책을 내놓은 선례는 적지 않다 정부는 지난 월 일 서울 용산 정비창 부지 일대를 개발해 아파트 가구를 공급하겠다고 밝혔는데 직후 인근 집값이 급등했다 그러자 불과 일 뒤인 일 용산 정비창 부지 일대를 토지거래 허가 구역으로 지정했다 토지거래허가제는 해당 구역에서 토지나 주택을 거래할 때 관할 시군구청에서 허가를 받도록 한 것이다 매수한 집에서 년 이상 실거주해야 하는 등 조건이 까다로워 고강도 규제로 꼽힌다 지난 월 일 추가로 토지거래 허가구역으로 지정된 서울 강남구 삼성대치청담동 송파구 잠실동은 이후 한 달간 주택거래 허가신청 건수가 작년 같은 기간보다  급감하기도 했다여당 역시 추가 규제를 예고했다 김태년 원내대표는 이날 원내대책회의에서 공급 대책 이후 시장 교란 행위가 나타나면 모든 행정력과 정책수단을 동원해 투기 세력을 발본색원하겠다며 필요하면 더 강력한 입법에 나서겠다고 목소리를 높였다 대출 규제 강화 부동산 세금 추가 인상 등까지 가능성을 열어놓은 것이라는 평가가 나온다공급 대책의 실효성이 낮아 가까운 시일 안에 땜질을 할지 모른다는 우려도 제기된다  대책의 핵심 중 하나는 공공참여형 재건축 사업 도입이다 민간 재건축 단지의 용적률 규제 등을 완화해주는 대신 이로 인해 늘어나는 수익의 를 공공기여 방식으로 국가가 환수하도록 한 것이다 김현미 국토교통부 장관은 재건축 초기 사업장의  정도는 공공참여형 재건축 사업에 참여할 것이라며 이로 인해 년간 만 가구의 주택이 공급될 것으로 기대한다고 말했다김상봉 한성대 경제학과 교수는 용적률 규제를 완화해준다지만 추가 수익의 를 뱉어내라는 건 과도한 희생을 강요하는 것이라며 민간 참여가 저조해 또 보완 대책을 내놓을 가능성이 커 보인다고 지적했다정부는 최근 주택 임대시장 혼란을 키우고 있는 임대차 법전월세 상한제 계약갱신청구권제에 관련된 세입자 보호를 더 강화하겠다는 입장도 밝혔다 김 장관은 임대인이 직접 거주하겠다고 세입자의 계약 갱신을 거부한 뒤 다른 사람에게 임대한 사실이 적발되면 손해배상을 청구할 수 있게 했다며 실거주 여부를 확인할 수 있게 세입자가 해당 주택의 임대차 정보를 열람할 수 있게 할 것이라고 했다서민준 기자  한국경제    무단전재 및 재배포 금지,경제
생활용품 기업 크린랲은 국내 생산 건전지 브랜드 하이퍼맥스를 출시하고 알카라인 건전지 시리즈 제품을 출시했다고 일 밝혔다하이퍼맥스에는 어린이 및 청소년 소비자를 겨냥한 엉이부엉이 구리개구리 판다 등 동물 캐릭터 디자인이 적용됐다 캐릭터마다 개들이로 사이즈와 사이즈 두 종류로 출시됐다 수은 카드뮴 납 등 중금속을 첨가하지 않은 친환경 제품이다 크린랲은 광주 소재 건전지 제조회사 알이배터리의 생산공장에서 하이퍼맥스를  자체 개발생산한다 한국경제    무단전재 및 재배포 금지,경제
노원구 태릉골프장 전경 노원구 태릉골프장 전경서울경제 홍남기 부총리 겸 기획재정부 장관이 수도권 주택공급 확대방안과 관련해 태릉골프장은 그린벨트 환경평가 등급상 등급으로 보존가치가 낮아 택지로 개발하기로 했다며 그 외 그린벨트는 미래세대를 위해 보전한다는 원칙 아래 검토하지 않았다고 언급했다 태릉골프장 이외 대규모 공급 후보지로 거론됐던 정부 소유 골프장들도 제외되면서 신규 택지공급량은 만가구 수준에 그쳤다이에 따라 서울에서 가구 이상이 들어설 미니신도시급은 기존에 발표했던 용산정비창과 이번 대책에 포함된 태릉골프장 등 두 곳에 불과하게 됐다 서울 내 신규 택지공급 물량이 예상보다 많지 않아 신규 발굴이 추가로 필요할 수 있다는 지적이 벌써 제기된다 또 이번 방안과 관련해 과천시에서 즉각 반발하는 등 지방자치단체와의 협의 과정이 순탄하지 않을 것으로 예상돼 공급계획에 변수가 될 수 있다는 평가도 나온다태릉골프장 빼면 미니 신도시 없어이번에 발표된 신규 택지 가운데 조성 규모가 가장 큰 곳은 태릉골프장이다 대지면적이 총 만 규모이며 정부는 대략 만가구를 공급하기로 했다 당초 인근 육군사관학교 부지까지 연계해 개발하는 방안도 제기됐지만 별다른 논의 없이 무산된 것으로 알려졌다태릉골프장 인근에는 구리 갈매신도시가 조성돼 있다 지역 주민들의 교통 과밀 우려에 따라 이번에 광역교통개선대책도 함께 제시됐다 정부는 경춘선 열차를 추가 투입하고 갈매역과 화랑대역 인근 지하철역을 연계한 간선급행버스를 신설하기로 방침을 정했다 또 화랑로 확장 묵동신내 구간을 차로로 확장하는 등 도로 개선 방안도 내놓았다신규로 발표한 택지 가운데는 용산 미군기지 캠프킴과 정부과천청사가 각각 가구 가구 규모로 중규모 수준이 된다 캠프킴은 미군과 이미 반환협상이 완료됐는데 환경오염 정화비용과 관련한 최종 조율이 끝나지 않았다 정부는 협상이 끝나는 대로 바로 주택공급이 가능하도록 하겠다는 입장이다 과천정부청사는 현재 정부 산하기관들이 다수 입주해 있는데 정부의 차 공공기관 지방 이전에 따라 일부 지역을 택지로 조성하기로 했다서울 강남 지역에서도 다수의 택지조성계획안이 나왔다 그동안 택지 후보지로 거론되지 않았던 서울 서초구 서울지방조달청이 대표적이다 정부는 이곳에 가구가량을 공급하기로 했는데 입지가 워낙 좋아 공공분양임대 경쟁률이 치열할 것으로 예상된다또 서울 서초구 국립외교원 부지와 강남구  서울지역본부에도 각각 가구 가구가 공급될 예정이다 유력한 택지 후보지로 평가받았던 강남구 대치동 서울무역전시장은 잠실 마이스 개발과 연계한다는 이유에서 이번에 제외됐다 서울시는 용도전환에 대해 추가 검토가 필요하다는 입장이다 그 밖에 서울 마포구 서부면허시험장가구 상암 미매각 부지가구 상암 자동차검사소가구 상암 견인차량보관소가구 등 마포구 일대에도 가구 이상이 공급될 예정이다정부는 이번에 신규 공급하는 물량 가운데 절반 이상은 생애 최초 주택구입자와 청년신혼부부 등에 배정할 예정이다 서울에서는 매년 만가구가량의 신규 주택이 공급되고 있는데 이번에 신규 택지를 통해 공급하는 총량은 년치 공급량 수준이다 이런 상황에서 청년신혼부부 등에 물량 절반을 배정하는 만큼 일반에 공급되는 물량은 만가구 수준에 그칠 것으로 보인다택지 조성과 관련한 지자체와의 협의 과정도 진통이 예상된다 과천시는 이날 공급대책 발표가 끝나자마자 반대 의견을 표명했다 김종천 과천시장은 긴급 브리핑을 통해 과천에 가구의 대규모 주택을 공급하는 것은 시민들에게 고통을 주는 일이라며 정부과천청사를 택지개발에서 제외해달라고 요구했다 과천뿐 아니라 태릉골프장용산정비창 등도 주민들의 반발이 나오고 있는 상태다 강동효기자 저작권자  서울경제 무단 전재 및 재배포 금지,경제
문재인 정부 년 동안 서울 아파트의 당 가격이 만원 가까이 오른 것으로 나타났다일 김상훈 미래통합당 의원이 한국감정원으로부터 받은 자료에 따르면 지난달 서울 아파트의 당 평균 시세는 만원이었다 문재인 정부가 출범한 년 월만원과 비교해 만원 올랐다 년 새  상승한 셈이다자료에 따르면 지난 년간 서울 아파트 가격은 개 자치구에서 모두 상승했다 지난달 기준 당 만원이 넘는 자치구도 개나 됐다 증가율로 보면 성동구가 가장 크게 올랐다 이 기간 당 만원에서 만원으로  뛰었다 서대문구가 당 만원에서 만원으로  올라 뒤를 이었다 종로구만원와 동대문구만원 강동구만원도 대 상승률을 기록했다금액 기준으로 가장 많이 오른 자치구는 강남구로 조사됐다 이 기간 강남구의 아파트 가격은 당 만원에서 만원으로 만원 상승했다 같은 기간 서초구 역시 만원에서 만원으로 만원 올랐다 이들 지역 아파트의 당 시세는 서울 근로자의 지난해 기준 평균 연봉만원을 넘어섰다김 의원은 년치 급여로도 강남 아파트 를 사기 어려운 상황이라며 집값이 급격히 상승하면서 주택 실수요자 청년 신혼부부 무주택자들은 내집 마련조차 어려워졌다고 지적했다 이어 비교적 실수요 서민층이 구매하던 자치구의 아파트 가격도 이제는 접근조차 할 수 없을 정도로 올랐다고 덧붙였다이번 통계는 한국감정원이 실거래 사례 분석과 협력 공인중개사의 자문 기타 참고자료를 활용해 산정했다 매월 첫째주 시세를 기준으로 각 지역 아파트의 평균 가격을 공급 면적별로 나눠서 계산했다정연일 기자  한국경제    무단전재 및 재배포 금지,경제
서울 도심에서 경기 하남시까지 연결되는 지하철 호선 연장 하남선 단계 구간이 이달 개통된다 서울 접근성이 크게 개선되는 하남시 미사강변도시와 구도심인 풍산지구 아파트가 하남선 개통 호재로 강세를 보이고 있다국토교통부는 지하철 호선 종착역인 상일동역에서 하남 미사지구와 풍산동까지 연결되는 하남선 단계상일동역하남 풍산역 구간이 오는 일 첫 운행을 한다고 일 밝혔다하남선 단계 구간은 호선 상일동역에서 미사역을 거쳐 하남 풍산역까지 총 개 정거장 를 오가는 전철 노선이다 년 공사에 나선 지 년개월 만에 개통하는 것이다차량은 량 편성으로 출퇴근 시간에는 분 내외 평시에는 분 간격으로 운행된다 역 정차 시간을 포함한 표정속도는 시속 약 다 하남선 단계 구간 개통으로 상일동역에서 하남 풍산역까지는 분초 만에 갈 수 있게 됐다 천호역과 잠실역에서 환승하면 하남 풍산역에서 강남역까지 분 안에 진입할 수 있다국토부 관계자는 이번 단계 구간 개통으로 서울 도심에 직장을 둔 하남지역 도민들의 출퇴근길이 훨씬 편해질 것이라고 했다국토부는 역사 활성화를 위한 특화시설을 정거장마다 설치했다 하남 중심상권이 있는 미사역에는 자전거 대를 주차할 수 있는 환승센터와 함께 스마트 모빌리티 및 물품을 자유롭게 보관할 수 있는 개의 다목적 보관함을 설치했다 하남 풍산역은 음악공연과 전시회 등 지역 주민의 문화 공간으로 활용할 수 있는 선큰광장을 조성했다업계에서는 미사강변도시와 풍산지구가 하남선 단계 개통의 혜택을 받을 것으로 보고 있다 지난 월 억만원에 거래됐던 미사강변푸르지오 전용 는 최근 억만원에 팔렸다 미사강변도시 인근 중개업소 관계자는 하남선 개통 전부터 매매가격이 오르는 등 기대가 아파트 가격에 반영되고 있다고 말했다윤아영 기자  한국경제    무단전재 및 재배포 금지,경제
월 법인 매도 물량 전달의 두 배연내 법인 매물 쏟아질 듯정부가 법인 소유 주택에 대해 세금을 중과하기로 하면서 세금 폭탄을 피하기 위한 법인 매물이 잇따라 거래되고 있다 절세 목적으로 법인을 세워 아파트를 사들였던 다주택자 물량으로 추정된다 서울보다는 지방에서 법인 매물 거래가 늘었고 서울은 중심지가 아닌 소외지를 중심으로 매도량이 증가한 것으로 나타났다일 한국감정원에 따르면 지난 월 법인이 개인에게 매도한 아파트는 건으로 집계됐다 월건보다  증가한 수치다 월별 매도 물량으로는 년 월건 후 년개월 만의 최대치다법인 매물 거래는 서울보다 경기와 지방이 더 활발했다 서울의 법인 매도량은 월 건에서 월 건으로 조금 늘었다 경기도는 같은 기간 건에서 건으로 두 배 규모로 증가했다 인천도 같은 기간 건에서 건으로 급증했다 부산은 월 건에서 월 건으로 광주는 건에서 건으로 증가했다개발 호재로 단기간 집값이 급등했던 지역의 법인들도 대거 물량 처분에 나섰다 월 방사광가속기 유치라는 호재가 부각된 충북 청주시가 대표적이다 청주는 월 법인 매도량이 건에 불과했지만 월에는 건으로 늘었다 규제 풍선효과로 상반기 집값이 뛴 경기 수원과 화성도 마찬가지다 같은 기간 수원은 건에서 건으로 화성은 건에서 건으로 증가했다법인 물량이 쏟아지면서 최근 집값은 주춤한 모습이다 청주 복대동 신영지웰시티차 전용 는 올초까지 억원 중후반대에 거래되다 월 억만원으로 신고가를 경신했다 하지만  대책 발표 이후 매수세가 꺾이면서 지난달엔 억만원에 실거래됐다법인 소유 주택이 시장에 나오는 이유는 세 부담을 늘린  부동산 대책의 영향이 크다는 분석이다 정부는 투기 수요를 잡기 위한 핵심 방안으로 법인 소유 주택의 세제 강화를 내세웠다 이로 인해 법인은 내년 월부터 종합부동산세 기본공제 억원을 적용받지 못한다또 법인 소유 주택은 공시지가와 관계없이 모두 종부세를 부과하기로 했다 주택 이하 법인은  주택 이상 또는 조정대상지역 내 주택 법인은 세율이 에 이른다예컨대 공시지가 억원짜리 아파트 두 가구를 보유한 법인은 그동안 총 억원 중 억원을 공제받아 나머지 억원에 대한 종부세만 냈다 하지만 내년 월 이후에는 억원의 인 만원을 종부세로 내야 한다 여기에 조정대상지역 내 주택이라면 최고세율 만원를 부담해야 한다법인도 개인처럼 소외지를 우선 매도하는 경향을 보이고 있다 안명숙 우리은행 부동산투자지원센터 부장은 서울 강남지역은 매매가 대비 전셋값 비율전세가율이 낮기 때문에 지방이나 서울 외곽지보다 단기 갭투자 수요가 많지 않았다며 법인도 강남 아파트의 장기 보유 가치가 높다고 판단해 외곽지 물량을 먼저 내놓고 있다고 말했다업계는 연내 법인 소유 매물이 쏟아질 것으로 내다보고 있다 다주택자는 내년 월 일 재산세 세액이 결정되지만 법인세는 연말에 확정되기 때문이다 종부세도 월 부과된다 내년 월부터는 법인이 보유한 주택을 처분할 때 내는 법인세마저 크게 오른다법인을 통한 갭투자 선호지역과 풍선효과로 시세가 급등한 지역에서는 급매물이 나와 조정 장세가 이어질 가능성도 있다 업계 관계자는 법인 소유 아파트가 많은 지역은 단기간 가격이 급등했을 확률이 높기 때문에 투자에 유의해야 한다며 정부가 대규모 공급 대책을 내놓은 만큼 실수요자는 여러 선택지를 비교해볼 수 있다고 말했다심은지 기자  한국경제    무단전재 및 재배포 금지,경제
